Name,logp1,logFC1
MRPL2,2.38,-0.346045176
COX17,0.32,-0.344837825
FDFT1,2.41,-0.344490687
PPTC7,3.42,-0.342941284
ZNF827,0.20,-0.342938105
HARS,1.00,-0.342597326
TGFBI,3.58,-0.342585246
MRPL28,2.37,-0.34082667
NDUFS8,2.93,-0.340284983
GPC4,3.14,-0.339489619
GFPT2,2.27,-0.338339488
CDH11,3.53,-0.338286718
NDUFV2,1.26,-0.337397893
LMNB1,1.72,-0.337093353
LGALS3BP,2.14,-0.336445491
EMC10,1.39,-0.334902445
CEMIP,0.95,-0.334749222
ASS1,1.77,-0.334552129
NDUFS7,2.04,-0.330513636
XRCC4,0.41,-0.327594121
METTL17,3.41,-0.325360616
MRPL18,1.71,-0.324157715
HSPA9,1.27,-0.323875427
SMAD5,2.02,-0.322200139
HSPB8,3.34,-0.320920308
MRPL32,1.43,-0.320473353
LZTS1,1.69,-0.320357641
MP68,1.71,-0.31917572
MRPS11,3.49,-0.318798065
MT1X,1.31,-0.318499883
ELL2,3.19,-0.316875458
MRPL23,1.06,-0.316599528
MT-ATP8,0.42,-0.316357931
AMOT,0.29,-0.315570196
ANKHD1,1.81,-0.315431595
MRPL48,0.57,-0.315402349
TMEM135,0.70,-0.315031052
ISOC1,2.55,-0.314613978
UQCRC1,0.98,-0.314505259
SRA1,0.92,-0.314370473
SLC35A4,1.77,-0.31416893
MAP3K1,0.67,-0.31354777
DHCR24,1.21,-0.313107808
TMEM173,0.87,-0.312897364
SRFBP1,1.25,-0.312637965
CDC42SE2,0.87,-0.311519623
RAN,2.49,-0.311201096
FAM98C,1.66,-0.310519536
ATOX1,0.31,-0.310150146
CHSY3,1.40,-0.309791565
LARS,1.65,-0.309122086
LDHA,0.65,-0.30750974
NDUFV1,3.00,-0.30738004
BCL3,0.51,-0.307047526
ALKBH1,0.36,-0.305684408
QPCT,0.27,-0.302833557
OGFOD2,1.36,-0.301160812
PABPC4,0.52,-0.300941467
LIPG,0.48,-0.30048116
TSPAN3,0.80,-0.298165003
PPIC,0.64,-0.297949473
KIF20A,1.59,-0.297913233
UBE2L6,2.25,-0.297777812
CPS1,0.97,-0.296607971
SLC25A46,2.54,-0.296033223
CHD1,1.34,-0.295211156
ADCK4,1.06,-0.294784546
MRPL19,2.20,-0.294218063
MRPL49,3.05,-0.293905258
MRPS18A,2.63,-0.293738683
RBM27,1.81,-0.292407354
ATPAF2,0.59,-0.291841507
PTCD3,1.64,-0.291528702
DBI,0.56,-0.291498184
MRPL13,0.88,-0.291460037
DIAPH1,0.77,-0.291177114
LIPT1,0.38,-0.290994008
IDH1,1.15,-0.289339066
GSTM4,0.55,-0.288685481
MRPL37,1.72,-0.288440069
LRRC4B,1.34,-0.288264592
WARS2,0.87,-0.286895116
THBS1,0.79,-0.286281586
UQCC1,0.61,-0.286128362
WDR81,0.65,-0.285580317
RPL26L1,0.31,-0.285044988
NCOA1,1.06,-0.28466924
MRPL12,0.18,-0.284440994
KLC1,0.56,-0.284433365
MRPL15,1.48,-0.283810298
MRPL41,2.40,-0.283195496
PER2,1.33,-0.283035914
MRPL30,1.03,-0.282310486
WDR73,2.77,-0.282066345
LDHB,0.72,-0.282021205
CASP2,1.39,-0.281744639
ARL15,0.97,-0.281599681
TRIM7,0.38,-0.281102498
IFI16,1.03,-0.280778885
TRAF3IP2,1.17,-0.280712128
COX7B,0.76,-0.280534744
FHIT,0.63,-0.279497782
CARHSP1,2.25,-0.279443741
C5orf24,0.48,-0.278980891
NDUFA3,1.63,-0.278817495
PRRC1,2.97,-0.278788884
LRR1,0.52,-0.278712591
DNAL1,1.37,-0.278570175
MRPL16,2.00,-0.277879079
RHOBTB3,1.70,-0.277544657
PRDM5,0.46,-0.277247747
NDUFV3,0.68,-0.277234395
ITGA2,3.44,-0.27637736
ST3GAL1,0.99,-0.276033401
MRPL3,1.23,-0.275290807
CD33,3.11,-0.274384181
DTX3L,0.84,-0.273984909
MRPS12,1.60,-0.273727417
NUP153,0.85,-0.272686005
IGFBP3,1.44,-0.272408803
PML,0.87,-0.27230835
KAZN,2.08,-0.271549861
NDUFB1,0.44,-0.270072301
YIPF5,1.05,-0.269905726
TFCP2,0.43,-0.269690196
SAAL1,0.31,-0.269037882
AKR1B1,0.66,-0.268357595
YTHDC2,2.89,-0.267431259
MORF4L1,1.18,-0.267219543
ARL5A,0.75,-0.267086665
CAST,0.35,-0.267044067
CANX,0.47,-0.266671499
HMGCR,3.50,-0.266213735
TSR2,1.27,-0.265717189
PPHLN1,0.34,-0.264006933
IKBIP,0.84,-0.263818741
PGBD5,3.46,-0.263269424
TAF1C,0.48,-0.262964884
TCOF1,0.48,-0.262451172
FAM172A,1.33,-0.262443542
CA2,1.25,-0.261290868
APBA2,0.52,-0.260520935
NR3C1,1.69,-0.260491689
DLD,0.76,-0.260377884
NDUFA9,1.04,-0.260088603
KRT18,0.95,-0.259382248
MBNL2,0.84,-0.259338379
YIF1A,1.41,-0.258998235
CDH4,0.35,-0.258775075
PHAX,1.28,-0.258508682
ICT1,1.27,-0.25818634
TMCO4,1.22,-0.258021673
THOC3,0.76,-0.257419586
MRPL27,1.67,-0.257354101
FAM49A,0.58,-0.256174723
TNC,2.20,-0.256035487
MOCS2,0.93,-0.255025228
COQ5,0.86,-0.254975001
ZNF8,0.73,-0.25491333
ID1,0.80,-0.254420598
TXNL4B,0.36,-0.254060109
P4HA2,1.72,-0.253922145
MRPS24,1.39,-0.253791809
LIN7A,0.73,-0.253643672
GPX7,1.03,-0.252456029
CRIP1,0.75,-0.25225385
HARS2,1.68,-0.252046585
SLC12A2,1.26,-0.25196139
PURA,0.75,-0.251757304
H2AFY,1.82,-0.25164032
INO80C,0.82,-0.251398087
ATPIF1,1.41,-0.251202901
GNPDA1,1.42,-0.25087293
MRPL47,3.23,-0.249398549
NDUFAF2,2.32,-0.24894015
RUFY1,2.11,-0.247164408
DUSP1,0.46,-0.247060776
EFNA5,0.94,-0.245807012
TBC1D7,0.09,-0.245303472
MRPL44,1.08,-0.244787852
IKBIP,0.53,-0.244120916
PRR3,0.12,-0.2439785
MCC,2.50,-0.243441264
RNF145,0.47,-0.243370056
PSMB10,0.83,-0.242481232
RGS14,0.77,-0.242465337
LZTFL1,1.60,-0.242352168
RNF14,0.78,-0.24222819
LIG1,0.09,-0.241932551
HINT1,3.19,-0.241902669
YBX3,0.48,-0.241646449
COL1A1,0.37,-0.241348902
STAT3,0.36,-0.241286596
ZNF711,1.17,-0.240912755
TTC1,1.16,-0.240483602
REEP5,0.53,-0.240418752
LMNA,0.27,-0.240240097
LIPA,0.72,-0.239643097
SPDL1,2.01,-0.239559174
ACAD8,0.96,-0.239485423
MRPL24,1.53,-0.239220937
CABLES2,0.82,-0.23906072
SNX5,1.24,-0.238938014
PXMP4,0.90,-0.238850276
ENO1,0.44,-0.237860998
PNMA2,0.35,-0.237110138
RAD50,0.74,-0.236411413
NACA,0.20,-0.23625946
MRPL55,2.13,-0.235366821
PDP1,1.68,-0.23532486
THG1L,3.41,-0.233686447
ETF1,0.63,-0.233318965
MPP7,0.70,-0.233301799
DHTKD1,2.05,-0.233069102
SPARC,0.48,-0.233053207
GNE,2.82,-0.232807795
IL1B,2.31,-0.232716878
RAB42,0.65,-0.232661565
JADE2,1.22,-0.23242569
NDRG2,1.86,-0.232117971
APAF1,1.76,-0.231891632
KAT6B,0.47,-0.23154068
PWWP2A,0.34,-0.231030782
CNTLN,1.38,-0.230954488
TUSC3,0.59,-0.229851405
COQ3,1.00,-0.229532878
IFIT1,1.21,-0.229338964
IFNGR1,0.17,-0.228933334
IMMT,0.34,-0.228244781
DPH3,0.26,-0.227626165
MZT2A,0.87,-0.227374395
LIG4,0.82,-0.227357864
TMSB15B;TMSB15A,0.15,-0.227308273
DIRC2,0.45,-0.22720782
DDX46,1.96,-0.226721446
DDX24,0.37,-0.226622264
APC,1.53,-0.226302465
EMC9,0.24,-0.226033529
SOD2,0.45,-0.225678762
LY6K,0.51,-0.225302378
ZNHIT3,0.35,-0.225297292
ECH1,0.81,-0.225264867
GKAP1,0.31,-0.224908193
TUBB3,1.15,-0.224458694
ANGEL1,0.58,-0.224348704
MRPS14,0.59,-0.224309921
TM2D2,0.28,-0.224153519
MRPL38,1.59,-0.22402064
CAMK4,3.51,-0.223526001
BTF3,1.55,-0.222808202
AZI2,0.52,-0.222726822
SUSD5,0.79,-0.222098033
NDUFS2,2.12,-0.221410751
OCLN,0.34,-0.221161524
PDLIM4,0.90,-0.221101125
KIF1A,2.73,-0.220786413
SREK1IP1,1.16,-0.220677058
HINT2,0.30,-0.220305125
SLC39A3,0.46,-0.220221837
FABP4,1.57,-0.219216665
SLC39A14,0.95,-0.219113668
KLC4,1.20,-0.218688329
ZNHIT6,1.56,-0.218531926
MRPL22,0.56,-0.218472163
NDUFS3,1.48,-0.218041102
SNX2,1.48,-0.217980703
PDSS1,0.90,-0.217561722
FEM1C,0.46,-0.216991425
METTL5,0.43,-0.216947556
XYLT1,1.31,-0.216576894
TBC1D8B,0.18,-0.215961456
DBN1,0.84,-0.215835571
TMEM132A,0.67,-0.215810776
MRPS10,0.85,-0.215536753
METAP2,0.45,-0.215536118
RIMKLA,1.09,-0.215005875
ENO1,0.57,-0.214466731
TMED7,0.79,-0.214111328
MCM9,0.23,-0.214018504
MRPS5,0.80,-0.21401151
HIF1A,0.26,-0.213434855
TRIM41,0.44,-0.212640762
LYRM1,0.98,-0.212550481
NFYA,0.44,-0.21237119
DPYSL3,1.38,-0.211963654
GAPDH,2.14,-0.211934408
SEC24A,1.47,-0.211544037
C12orf57,0.88,-0.211537043
MT1A,0.68,-0.211146037
CA13,1.03,-0.211057663
HEXIM1,1.85,-0.210760752
ANXA6,4.64,-0.21075058
NUCB1,0.82,-0.210584641
SMPD4,0.33,-0.209859212
COQ6,0.31,-0.209788005
SERPINE2,0.96,-0.209719976
MFAP3;MFAP3L,2.00,-0.209180196
NDUFA5,0.47,-0.209112803
PABPC4,0.41,-0.209027608
TPT1,0.43,-0.208983739
IDI1,0.43,-0.20885849
HECW2,0.38,-0.208689372
STAT3,0.46,-0.208152771
MRPS9,0.61,-0.207982381
MRPL39,1.75,-0.207742691
PARP8,0.85,-0.207695007
CCNB1,0.62,-0.20746549
HIST1H1E,0.30,-0.207253138
EARS2,2.77,-0.207098007
THOC2,0.31,-0.20656395
CARD6,0.54,-0.206399282
NDUFAB1,1.79,-0.20633316
SCAP,0.67,-0.206245422
WDR61,0.35,-0.204861323
COMMD3,1.47,-0.204492569
TMEM161B,0.48,-0.204455694
RNF13,0.76,-0.204429626
UNG,1.28,-0.204334259
MRPL11,2.14,-0.204298655
NARFL,1.08,-0.20419693
ACO2,2.52,-0.204001109
COQ9,0.71,-0.203954061
PPIP5K2,1.66,-0.20391655
TRO,0.68,-0.203884761
ATP6V1C1,0.41,-0.203833262
PPIF,0.48,-0.203508377
HMGN2,0.18,-0.202880859
ARAP3,0.86,-0.202756246
GADD45GIP1,0.99,-0.202709834
MLKL,2.13,-0.202091217
CDC45,0.85,-0.201777776
TTC37,1.15,-0.201329549
MRPL21,0.64,-0.201023738
MED26,0.57,-0.200983047
LACTB2,0.66,-0.200567245
IFI30,0.60,-0.200504303
RMDN1,0.26,-0.200360616
APTX,0.39,-0.200281779
ZNF770,0.56,-0.199649175
COMMD9,1.17,-0.199012121
UBAP2,1.54,-0.198702494
NDRG1,0.77,-0.197907766
MBNL3,0.55,-0.197227478
IL6ST,1.74,-0.1964372
FASN,1.42,-0.196323395
CHURC1,0.89,-0.196279526
ANKRD44,0.70,-0.196158727
ATG12,0.61,-0.196086248
SRRM1,0.36,-0.19554011
FAM195A,0.42,-0.195221583
LYRM4,0.20,-0.195035934
TRAF4,0.53,-0.194816589
MRPL17,0.44,-0.194664637
TATDN1,0.50,-0.194278717
ETNK1,1.27,-0.193969727
TRIM21,1.51,-0.193893433
MRPS7,0.53,-0.193288167
RPS27A,0.10,-0.19321696
MRPL46,1.58,-0.193202337
ZC3H8,0.34,-0.193106969
C2orf76,0.17,-0.193030675
IFT81,0.52,-0.192770004
N4BP3,1.01,-0.192696889
KIF3A,2.84,-0.192570368
CHTF8,0.56,-0.192509969
MRPL1,0.37,-0.192366282
NOLC1,0.34,-0.192203522
COQ7,1.47,-0.192185084
PCCB,1.46,-0.191993078
HTATIP2,2.57,-0.19184494
KCTD14,1.25,-0.191724141
FAF2,0.90,-0.191315333
SF3B4,0.37,-0.191113154
MPLKIP,1.72,-0.191069285
GJA1,1.08,-0.191007614
ZNF655,0.72,-0.190920512
ANO2,0.16,-0.190895716
DNAJC7,0.86,-0.190668742
FUBP1,0.45,-0.190656026
ATAD3B,1.97,-0.190518061
ZDHHC21,1.92,-0.19042333
TTF2,1.01,-0.190296173
WDR11,0.97,-0.189980825
TPM2,0.41,-0.189719518
LAMTOR4,3.10,-0.188771566
UMAD1,0.26,-0.188749949
FBXO38,3.11,-0.188694
PTPRD,0.55,-0.188531876
SKP1,0.64,-0.188431422
MRPL34,1.15,-0.188366572
DAP3,0.46,-0.18813769
KANSL2,0.63,-0.188079198
PINX1,0.25,-0.187932332
IFI27L2,0.14,-0.187843323
SLC7A2,0.68,-0.187437057
GRPEL1,0.93,-0.187337875
KBTBD6,0.28,-0.186772664
GLTSCR2,1.54,-0.186435699
RBM24;RBM38,0.24,-0.186044693
MSTO1,1.32,-0.186015447
FAM114A2,0.31,-0.185928345
GOLGA8T;GOLGA8K;GOLGA8H;GOLGA8M;GOLGA8J,0.13,-0.18563207
IK,0.27,-0.185536702
RPP40,0.99,-0.185516993
CAP2,1.69,-0.185364405
SDHB,0.40,-0.185244878
GAPDH,0.73,-0.184593836
MCCC2,2.01,-0.184565226
TXNRD2,0.83,-0.184318542
MPI,0.53,-0.184006373
CHORDC1,0.28,-0.183998108
ALDH1B1,3.11,-0.183871587
METAP2,0.19,-0.183683395
SH3BGRL,1.37,-0.183441162
MRPL4,1.07,-0.183153152
COL5A1,1.42,-0.182910919
HMGN3,0.29,-0.182820638
GM2A,0.97,-0.182790756
RASA1,1.31,-0.182622274
CHST14,0.57,-0.182401021
BBS9,1.32,-0.182079315
STEAP3,0.66,-0.181748072
PTBP2,1.33,-0.181681951
GATM,0.38,-0.181671143
AFF4,2.05,-0.181437174
CPNE7,0.35,-0.18138059
IMPACT,0.89,-0.18104744
ZNF346,3.17,-0.181039174
KIF3B,0.48,-0.181013107
RPL26,0.15,-0.180948893
SMARCA2,0.10,-0.180823008
CNOT6,0.50,-0.18023173
MRPL9,0.56,-0.17976888
CAPRIN1,0.66,-0.179312388
PSIP1,0.27,-0.179305394
GGT7,0.29,-0.179117839
AGK,0.41,-0.178887685
RAPGEF6,1.42,-0.178860346
NLN,2.31,-0.178752263
GORASP1,2.27,-0.1785628
ANAPC11,0.49,-0.178555806
KIAA0020,1.17,-0.178475062
RIOK2,0.44,-0.178305308
PCCA,0.73,-0.17828242
PRTFDC1,0.36,-0.178007126
TPI1,0.93,-0.177989324
MKL1,0.20,-0.177895228
PHF14,0.17,-0.177729289
GNG2,0.45,-0.177515666
PHF20L1,0.68,-0.1771698
ZMAT2,0.16,-0.177167257
ZZEF1,0.20,-0.17692248
KDM3B,0.82,-0.176659902
TCERG1,2.87,-0.176529566
HSPE1,0.41,-0.176410039
PITX2;PITX1,0.45,-0.176362356
GPC6,1.61,-0.176324844
NTAN1,1.78,-0.176214218
AHCYL1,0.50,-0.176053365
RAB39A,0.25,-0.175865809
CWC27,0.22,-0.175767263
LOX,2.05,-0.175741831
MED9,0.15,-0.175640106
FOXO1;FOXO6,0.35,-0.175600052
SMIM12,0.13,-0.175394694
RBM22,1.07,-0.17530632
IL18R1,0.26,-0.175287247
BOLA3,0.46,-0.175185521
RPL17,0.13,-0.174827576
VRK1,0.23,-0.174743652
G3BP1,1.16,-0.174564997
ZNF141,0.39,-0.174201965
DDX58,0.58,-0.174165726
SEPT8,0.80,-0.174126307
ACSS3,1.18,-0.174089432
ENOSF1,0.90,-0.173147202
CDKAL1,0.67,-0.172887802
PCNP,0.14,-0.172365189
FASTKD1,0.66,-0.171959559
MRPL45,1.69,-0.171864827
UBLCP1,0.94,-0.171819687
TRMT10C,0.49,-0.17163976
UHRF2,0.14,-0.171368917
NNT,0.71,-0.171297709
SIVA1,2.51,-0.171220779
RNF181,1.98,-0.170902888
SLC45A4,0.19,-0.170801163
ABI3,0.65,-0.170733134
EEF1B2,0.89,-0.170727412
PRKD3,0.72,-0.170082728
ST5,0.68,-0.170019786
THBS2,3.30,-0.169873556
HIBCH,1.43,-0.169667562
SUGT1,0.53,-0.169542948
IFITM3;IFITM1,0.30,-0.169504801
ATP6V0C,1.06,-0.169385274
BOD1,0.47,-0.168862661
NUCB2,0.26,-0.168728511
WARS,0.97,-0.168454488
CASP9,0.65,-0.168446223
LGALS3,0.68,-0.167948405
GLG1,1.99,-0.167873383
MANF,0.19,-0.167760849
ACO1,2.51,-0.167596817
S100A10,0.21,-0.167490641
HIST1H1C,0.25,-0.167215347
FAM126B,0.59,-0.166621526
GEMIN5,0.68,-0.166432699
NOL7,0.79,-0.166425705
ATP5H,0.23,-0.166407903
EXD2,0.57,-0.166150411
KIFAP3,1.71,-0.165988922
ZNF740,1.13,-0.165947596
MRPL43,0.47,-0.165801366
MRPL42,0.44,-0.165594737
FAM60A,2.55,-0.165550868
SFXN1,0.56,-0.165477753
CREBBP,1.44,-0.165335973
CD2BP2,0.90,-0.165051142
SLC12A7,0.24,-0.164705912
CTCF,0.40,-0.164489746
TTR,0.11,-0.164206823
MSMO1,0.17,-0.164164861
FKBP2,0.50,-0.164072037
SATB2,2.20,-0.163712819
ERAP1,1.29,-0.163681666
HN1,1.60,-0.163516998
MVD,1.56,-0.163377126
UBR7,0.29,-0.163312912
CCDC117,0.31,-0.16331164
FKBP11,2.02,-0.162871043
NMI,0.42,-0.162614187
MRPS27,1.46,-0.162478765
MOSPD2,0.16,-0.162474314
CFL1,0.13,-0.162261963
YBX3,0.12,-0.1621418
C1orf174,0.79,-0.161775589
HNRNPAB,1.41,-0.161591212
WBP5,0.23,-0.161405563
PARP14,2.38,-0.161111832
CLINT1,0.23,-0.160750071
COX7A2,0.73,-0.160669963
PDPR,0.68,-0.160622279
ACSL3,2.64,-0.160494486
GFM2,2.02,-0.160200119
AP3S1,1.12,-0.160149892
KANSL3,1.21,-0.160143534
TNKS2,0.24,-0.160067876
NEDD4,0.71,-0.159968058
CA8,0.27,-0.1599617
NOSIP,2.30,-0.15990003
TBCA,0.39,-0.159840266
FRMD6,0.74,-0.159685771
KBTBD7,0.76,-0.159578959
SRP19,0.44,-0.159460068
DAPK1,0.34,-0.159133911
LAMTOR5,0.82,-0.159086227
RCHY1,0.50,-0.158847809
MAD2L2,0.54,-0.158657074
TST,1.28,-0.158524831
PPIA,0.73,-0.158443451
CRYZ,2.39,-0.158262889
LARS2,0.85,-0.157917023
SKIV2L,1.33,-0.157882055
NSUN3,1.05,-0.157797496
LARP1,1.43,-0.157759349
ANAPC5,0.33,-0.157676697
NFU1,1.73,-0.157607396
VAMP2,0.19,-0.157601674
USP33,0.51,-0.15752093
C12orf10,1.00,-0.157452901
GOT2,0.21,-0.157288233
MAP3K4,0.30,-0.156845729
RAB4A,0.48,-0.156749725
SF3B5,0.26,-0.156748454
RANBP1,0.13,-0.156639735
C20orf24,0.16,-0.156632106
HMGB1,0.18,-0.156524658
APOBEC3G,1.87,-0.15651385
SP110,1.34,-0.156230291
PUF60,0.18,-0.156157811
TCAF2,0.73,-0.156122208
HSD17B2,2.10,-0.156014125
RAE1,0.29,-0.155818939
GGA2,0.64,-0.155520121
SEPHS2,1.14,-0.155469259
SGTB,0.54,-0.15517807
PPIG,0.49,-0.154637019
SRP72,0.42,-0.154542287
SUMO2,0.18,-0.154466629
HOMER1,0.52,-0.154423396
NSD1,0.47,-0.154368718
ZRANB2,0.16,-0.154296239
E2F3,0.64,-0.154214223
HSD17B4,0.52,-0.154189428
RTN4IP1,0.49,-0.154130936
MAN2A1,2.24,-0.154073079
PVRL3,0.26,-0.15397644
ZNF207,0.19,-0.153836568
HENMT1,0.37,-0.153763453
PHF14,0.18,-0.153706233
DENND5B,0.41,-0.153697968
TOP3A,0.56,-0.153642654
WDR36,1.28,-0.153570175
NUDT16L1,1.54,-0.153524399
PCYOX1L,2.32,-0.15313975
TOMM40,0.63,-0.153048833
BCAT1,0.33,-0.152846654
PANK3,0.34,-0.15276591
MRPL35,0.42,-0.152656555
ZNF557,0.35,-0.152596156
SREK1,0.45,-0.15259107
TWF2,0.30,-0.152582169
CIAPIN1,0.77,-0.152517319
FXN,0.20,-0.152472178
SCRN3,1.43,-0.152470271
NIT2,0.55,-0.152440389
CYSTM1,0.26,-0.152369817
IFT27,0.87,-0.152266184
LAMA5,0.69,-0.152111689
SMARCB1,0.27,-0.152102788
GTPBP4,0.37,-0.152097066
HSP90AA5P,0.13,-0.151724497
NARF,0.66,-0.151647568
TTC38,0.41,-0.15153567
APOL2,0.50,-0.151470184
STRIP1,0.19,-0.151315053
MTG2,3.72,-0.151219686
KCTD9,0.89,-0.151160558
CDC23,0.52,-0.151127497
PPP1R14B,0.20,-0.151084264
GNB1,0.52,-0.151017507
HSPA8,0.23,-0.150848389
RMI1,0.44,-0.150746663
CHCHD3,0.81,-0.150587718
TMED9,0.38,-0.150579453
GLRX5,1.47,-0.150578181
PGD,0.59,-0.150174459
HSP90AB2P,0.36,-0.150164286
TMSB4X,0.10,-0.150154114
SDAD1,0.59,-0.149792353
SDHC,0.55,-0.149752299
C14orf142,0.24,-0.149721146
CCDC58,0.20,-0.149716059
MTX2,1.75,-0.149529775
PPAP2B,0.34,-0.149306615
FADS1,1.05,-0.1492335
ATP5E;ATP5EP2,0.43,-0.149184545
CCDC86,0.60,-0.148927053
WDR41,0.73,-0.148862839
RARS,0.75,-0.148736318
XRCC4,0.11,-0.148649216
NOP16,0.34,-0.148635864
ZNF444,1.13,-0.148622513
FAHD1,1.22,-0.148580551
SARS2,1.40,-0.148372014
MRPS22,0.66,-0.148345947
MRPS28,0.63,-0.148271561
PFN2,1.26,-0.148207982
NCL,0.35,-0.148160299
FARS2,0.97,-0.147954305
C15orf40,0.13,-0.147923152
ZFYVE16,2.09,-0.147858938
SBNO1,0.41,-0.147776286
ZCCHC10,0.63,-0.147548676
ACOT8,1.07,-0.147372564
MIF4GD,0.07,-0.147357941
SORD,0.54,-0.147211075
USP38,0.36,-0.147133509
ATF7,0.93,-0.147064209
SLC25A12,1.22,-0.146952947
RPAIN,1.52,-0.146799088
PPP2CA,0.55,-0.146611532
ING1,0.21,-0.146524429
KAT8,0.71,-0.14643987
ALDOA,1.10,-0.146259308
LYSMD2,0.53,-0.146162033
VPS36,1.31,-0.145840963
PREPL,0.39,-0.145755132
ICE1,0.35,-0.145196279
RANBP6,3.24,-0.144971212
ZCCHC7,0.22,-0.144845327
CLSPN,0.31,-0.144812266
NAA40,0.42,-0.144765218
ISCU,0.87,-0.144725164
MRPL20,1.10,-0.144643148
KDELR3,0.22,-0.144636154
HSPD1,0.36,-0.144636154
PGM5,0.18,-0.144310633
KRTCAP2,0.39,-0.144165039
GNAS,0.39,-0.143976212
MRPS17,0.34,-0.143901825
CCSER2,0.26,-0.143822352
RAB2B,0.40,-0.143803279
PDPN,0.18,-0.143761953
GATA2,0.19,-0.14364624
