Name,logp1,logFC1
NEDD1,0.04,0.012013753
GPATCH4,0.07,0.01202329
MED16,0.03,0.012067795
DDX39A,0.04,0.012079239
H2AFX,0.02,0.01209259
ZNF697,0.02,0.012099584
MAGED2,0.29,0.012149811
HNRNPUL1,0.09,0.012154897
VPS25,0.02,0.012156804
CDT1,0.06,0.012322744
TOX4,0.06,0.012374242
EIF3G,0.04,0.0123806
SESTD1,0.03,0.012385686
MED11,0.04,0.012393951
NAT14,0.01,0.01240476
NAA25,0.04,0.012410482
CDS2,0.02,0.012453715
THOC5,0.18,0.012464523
GLUD1;GLUD2,0.04,0.012592951
STK38,0.04,0.012664795
RTF1,0.14,0.012686412
APOOL,0.03,0.012734731
PSMD13,0.13,0.012741089
ZNFX1,0.07,0.01275444
RHPN2,0.10,0.012781779
BRD1,0.06,0.01291275
PSMC3,0.18,0.01293246
RGPD5,0.02,0.012952805
FHOD1,0.22,0.01295344
C16orf13,0.11,0.012993495
FNBP4,0.02,0.013016383
SNRNP40,0.11,0.013051987
SLMAP,0.11,0.013096491
NOA1,0.18,0.013108571
TBC1D10A,0.08,0.013116201
SETD2,0.13,0.013121287
NUDT16,0.03,0.013138453
ISYNA1,0.05,0.013237
NFKB2,0.01,0.013243357
MID1IP1,0.09,0.013255437
LGALS8,0.13,0.013266881
FAM111B,0.09,0.013336817
GIGYF2,0.25,0.013345083
MTFR1L,0.05,0.013376872
F8A1,0.05,0.013385137
MAP7D3,0.11,0.013477325
USF2,0.03,0.013544083
CHEK2,0.05,0.013547262
DDX42,0.26,0.013583501
AP2A2,0.06,0.013643901
TBC1D2B,0.26,0.01365153
ITPRIPL2,0.15,0.013671239
DDHD1,0.06,0.013673147
FOXJ2,0.02,0.013676961
NAA30,0.08,0.013697306
DUSP11,0.03,0.013704936
PRMT6,0.03,0.013723373
EEA1,0.06,0.013725281
TOLLIP,0.03,0.013759613
ATP6V0A2,0.06,0.013776779
RPF2,0.07,0.013807297
UGCG,0.04,0.01380984
RNF123,0.05,0.013896306
USP7,0.24,0.013940811
PRKAG1,0.06,0.013941447
RRAGD,0.02,0.013951619
TOPBP1,0.13,0.013957977
COG6,0.12,0.014041901
COA6,0.03,0.014084498
PARP10,0.04,0.014134725
RCL1,0.02,0.014169057
HNRNPA2B1,0.03,0.014209112
PSMB1,0.04,0.014263789
SMEK2,0.05,0.014286677
DPYD,0.06,0.014388402
GANAB,0.27,0.014417648
GPR125,0.04,0.014422735
EPN2,0.03,0.014473597
AIP,0.16,0.014486313
SEC61A1,0.03,0.014545441
ANKRD52,0.05,0.014559428
MCL1,0.03,0.014559428
PAF1,0.03,0.014691671
ZBTB2,0.09,0.014697393
SLC25A1,0.08,0.014736176
RIPK4,0.02,0.014773051
GMEB2,0.10,0.014814377
CCDC97,0.03,0.014831543
CDCA8,0.05,0.014868418
SHROOM1,0.02,0.014868418
ZCCHC3,0.07,0.01489385
YY1AP1;GON4L,0.03,0.014904022
NUSAP1,0.02,0.014952977
POMT2,0.08,0.015043894
IGFBP4,0.03,0.015092214
N6AMT1,0.05,0.015144348
UBE2G2,0.05,0.01516215
ELMO2,0.13,0.015179316
ZMIZ2,0.38,0.015304565
STXBP5,0.08,0.015368144
DHX34,0.12,0.015382131
UCK2,0.06,0.015395482
CD59,0.19,0.015426
CCDC106,0.02,0.015459061
AGTPBP1,0.11,0.015490214
CEP44,0.21,0.01551501
SPIN1,0.04,0.015541077
YWHAG,0.08,0.015546163
AAMDC,0.02,0.01554807
SNRPE,0.02,0.01558431
HADH,0.03,0.01560084
TCP1,0.43,0.015654246
INCENP,0.09,0.01568985
HERC1,0.06,0.0156943
UBL3,0.02,0.015715281
RTN4,0.01,0.015725454
CENPV,0.07,0.015734355
IPO13,0.03,0.015740077
KNOP1,0.14,0.015745163
RRBP1,0.03,0.015768051
POLR2J2,0.06,0.015773773
LIG3,0.07,0.01585261
MEPCE,0.27,0.015884399
ATP2B1,0.16,0.015912374
PDCD11,0.10,0.015912374
DHX40,0.09,0.015932083
ADAM10,0.42,0.015953064
IP6K1,0.24,0.015961329
RBM28,0.06,0.015972137
PTOV1,0.02,0.01600647
STRN4,0.32,0.016023636
EPB41L2,0.06,0.016047796
MTOR,0.09,0.016047796
LIMD1,0.37,0.016092936
MLLT1,0.11,0.016098658
STK25,0.11,0.016222636
RASA4;RASA4B,0.02,0.016252518
WASH2P;WASH3P;WASH6P,0.03,0.016257604
TRIM14,0.04,0.016302745
B3GNTL1,0.03,0.016335169
GPNMB,0.03,0.016359965
FAM83G,0.15,0.016371409
JAK1,0.07,0.016441981
SLC30A5,0.13,0.016471863
CD63,0.27,0.01648585
TBX3;TBX2,0.03,0.016499837
NT5DC1,0.05,0.016524633
ZCCHC17,0.05,0.016572952
HAUS4,0.08,0.016588847
CHMP5,0.02,0.016609192
CENPM,0.03,0.016618093
MVP,0.18,0.01662
IGFBP2,0.05,0.016665777
STIM1,0.03,0.016740163
SRPR,0.07,0.016743342
PUS10,0.14,0.016765594
SLC4A1AP,0.31,0.016796112
COX19,0.04,0.016835531
PM20D2,0.13,0.016956329
RBM15B,0.25,0.016963323
CNPY2,0.08,0.017086029
USP28,0.07,0.017162323
FAT1,0.08,0.017231623
AUTS2,0.04,0.017233531
CEBPZOS,0.04,0.017273585
NUP88,0.21,0.017281214
TMPPE,0.08,0.017282486
COL6A3,0.22,0.017292658
PHRF1,0.06,0.017307917
DAB2,0.08,0.017347336
PHACTR4,0.08,0.017365774
CEP152,0.08,0.017388026
PDCL3,0.08,0.017435074
HDDC3,0.18,0.017467499
TADA2A,0.02,0.017493566
KLC1,0.02,0.017560323
TUSC1,0.05,0.017606735
BYSL,0.12,0.017624537
FOXK1,0.24,0.017700831
PYCR1,0.05,0.017705282
MON1B,0.08,0.017712275
RAD51,0.10,0.01771609
BTF3L4,0.02,0.017716726
CTTN,0.23,0.01772054
FLYWCH1,0.03,0.017767588
ARNT2,0.03,0.017826716
POLR2E,0.07,0.017834345
NUCKS1,0.03,0.017882665
SENP5,0.08,0.017887115
TCEAL4,0.02,0.017911911
TMEM259,0.03,0.017925898
CADPS2,0.07,0.017951965
UBAC2,0.04,0.017961502
SQSTM1,0.07,0.017995834
FAM118B,0.07,0.018001556
PLEKHN1,0.02,0.018014272
POLA1,0.04,0.018042882
BTAF1,0.16,0.01805687
DHRS7,0.03,0.018059413
TROVE2,0.09,0.018104553
ATP2C1,0.04,0.018112183
FGF2,0.03,0.018113454
FBXO4,0.10,0.018124898
RPS5,0.04,0.018168132
C21orf59,0.03,0.018181483
VPS72,0.20,0.018213272
CEP192,0.16,0.018224716
RALBP1,0.11,0.018227895
DFFB,0.04,0.018294017
NFKBIB,0.10,0.018356959
PPRC1,0.02,0.018371582
RBL1,0.23,0.018372218
AMDHD2,0.08,0.018386205
RFC2,0.14,0.018392563
NUMA1,0.23,0.018405279
ASB3,0.15,0.018430074
HNRNPL,0.22,0.018469493
POLR2M;GCOM2,0.12,0.018550873
COMT,0.04,0.018611908
HK2,0.41,0.018673579
M6PR,0.16,0.018781026
TMEM68,0.13,0.018802643
CHMP4A,0.05,0.018828074
GINS4,0.07,0.018900553
GUK1,0.03,0.018913269
FAM195B,0.03,0.018915176
WDR37,0.07,0.018943787
PSMB5,0.74,0.018951416
STX1A;STX1B,0.06,0.018961589
DSN1,0.23,0.019040426
KLHL9,0.09,0.019047419
CREB3L1;CREB3L2,0.04,0.019064585
LHFPL2,0.02,0.019085566
NELFE,0.05,0.019088745
AHSA1,0.15,0.01910464
KDSR,0.07,0.019126256
SPSB2,0.04,0.019130707
PIKFYVE,0.11,0.019154231
BRPF1,0.07,0.019181569
UBA6,0.06,0.01925087
OPTN,0.08,0.019258499
PAN2,0.07,0.019311905
ABR,0.08,0.019311905
C11orf57,0.04,0.019320806
SLC25A22,0.18,0.019327799
CENPU,0.02,0.019482931
MED17,0.18,0.019484202
PPM1F,0.09,0.019518534
C17orf75,0.04,0.019528071
ZFP91,0.12,0.019606908
C10orf35,0.04,0.019679387
MTMR2,0.04,0.019722621
ST6GAL1,0.03,0.019774755
RRP1,0.41,0.019816717
WDR54,0.05,0.019866943
LRRC57,0.11,0.019976298
COPG2,0.06,0.020007451
DNAJC15,0.06,0.020015081
FRG1,0.35,0.020044327
RPS14,0.10,0.0200634
CWC15,0.11,0.020093918
CENPW,0.10,0.020102819
KTI12,0.24,0.020133336
PSMD2,0.06,0.020158132
HERC4,0.21,0.02016894
MED27,0.30,0.020170212
KIFC3,0.08,0.020175934
COX20,0.02,0.020215352
REPS1,0.25,0.020230611
NME3,0.12,0.020235062
GORAB,0.32,0.020308177
CITED4,0.04,0.020321528
LSG1,0.06,0.020353953
KIAA1109,0.02,0.020364126
MCUR1,0.04,0.020388285
PIGQ,0.02,0.02040863
DRG2,0.10,0.020540237
BIRC2,0.41,0.020570755
EIF3E,0.28,0.020704905
NANS,0.11,0.02073733
DHX9,0.36,0.020753225
TRRAP,0.08,0.020767848
ATG16L1,0.12,0.020788829
PALB2,0.08,0.020801544
XPC,0.28,0.020811717
NEK4,0.04,0.020882924
MLLT4,0.20,0.021004995
TMEM33,0.08,0.021060944
RPL35A,0.19,0.021089554
RAD18,0.17,0.02110672
FITM2,0.24,0.021121979
TANGO6,0.08,0.02117157
SMARCD1,0.06,0.021172206
ZBED8,0.05,0.02124087
LDOC1L,0.03,0.021262487
ZNF24,0.08,0.021266937
APEX1,0.49,0.021311442
ARFGAP2,0.67,0.021333059
MGST2,0.03,0.021348317
CKMT1A;CKMT2,0.19,0.021368027
SECISBP2,0.07,0.021384557
TANC1,0.10,0.021396637
PTGFRN,0.07,0.021407445
TUBGCP2,0.14,0.021408081
CORO1C,0.03,0.021420161
ITPKC,0.03,0.021423976
ELAVL1,0.12,0.021465302
BACH1,0.05,0.021481196
CMTM4,0.04,0.021549861
CDC27,0.15,0.021559397
UBXN4,0.02,0.021581014
FKBP10,0.06,0.0215861
SENP3,0.04,0.021587372
RFC3,0.14,0.021601995
ZCCHC24,0.03,0.021626155
DPYSL2,0.40,0.021653493
SMG6,0.27,0.021738688
GSDMD,0.14,0.021826426
TMEM237,0.10,0.021846135
B4GALT2,0.04,0.021865845
UBASH3B,0.06,0.021890004
ZBTB17,0.02,0.021906535
CSTF1,0.18,0.0219148
USE1,0.29,0.021934509
SRSF1,0.04,0.021958669
USP16,0.37,0.021961212
FBXO3,0.06,0.021968206
MKNK1,0.28,0.021976471
TSSC4,0.03,0.021980921
WTAP,0.11,0.0219841
RFC5,0.16,0.022013982
KIAA0355,0.02,0.022062302
TUBGCP6,0.27,0.022144953
TBC1D2,0.08,0.022148132
OXNAD1,0.12,0.022223155
TNFRSF11B,0.25,0.022226969
SIRT1,0.23,0.022249858
FAM114A1,0.15,0.022253672
SGPP1,0.03,0.022271474
TBC1D15,0.79,0.022271474
EPB41L3,0.07,0.022274017
UGT8,0.07,0.022277832
UBXN8,0.04,0.022333145
TGOLN2,0.01,0.022335052
TUBGCP3,0.11,0.022450129
FANCF,0.11,0.022453944
RPS28,0.07,0.022468567
SHKBP1,0.09,0.022502263
CCNT1,0.11,0.022525787
MPC2,0.08,0.022541682
HOXD9,0.09,0.022570928
ERCC2,0.17,0.022586187
KCTD2,0.03,0.022589366
MBD3,0.10,0.022647858
GBAS,0.12,0.022659938
LRFN3,0.06,0.022665024
ARID1B,0.09,0.022668203
TCF20,0.16,0.022677104
DIS3L,0.31,0.022686005
EXO1,0.08,0.022699992
RALB,0.18,0.022719065
LPP,0.21,0.022820791
TRIM38,0.34,0.022860845
SDF2,0.05,0.022935867
ASF1B,0.05,0.022937775
GOPC,0.10,0.022972743
EEPD1,0.03,0.022975922
SMAD4,0.49,0.023000081
FAM175B,0.19,0.023014704
PCF11,0.15,0.023037593
FIS1,0.05,0.023045222
TMF1,0.04,0.023057938
MAST2,0.05,0.023112615
DHX32,0.26,0.023141225
ZNF691,0.11,0.023223877
MYO10,0.14,0.023228327
WIPF1,0.08,0.023229599
HSPA14,0.11,0.023249308
MMS22L,0.11,0.023368835
TAPT1,0.07,0.023392359
FSCN1,0.33,0.023399989
MDC1,0.42,0.023401896
C18orf25,0.12,0.023442586
TRIM68,0.08,0.023468018
EEF1G,0.61,0.023492177
BRAT1,0.04,0.023533503
ARHGDIA,0.19,0.023546219
STAT5B;STAT5A,0.07,0.023549398
SARAF,0.19,0.023574193
MAD2L1,0.17,0.023591995
SV2A,0.07,0.023605347
GPKOW,0.16,0.023622513
CDK1,0.21,0.023649851
TMEM87A,0.19,0.023675283
SNRPA,0.08,0.023690542
DIXDC1,0.02,0.023691813
UROD,0.03,0.023726781
BTRC,0.17,0.023750941
AP5S1,0.02,0.023776372
CPEB4;CPEB3,0.06,0.023793538
RPS6KA3,0.27,0.023797353
SEC13,0.14,0.023829778
RUSC1,0.03,0.023838043
LZIC,0.04,0.023883184
DAPK3,0.21,0.023904165
ARHGEF40,0.02,0.023975372
ORC5,0.17,0.02399381
FAM96A,0.05,0.024056117
ABCF1,0.13,0.024074554
DAP,0.15,0.024082184
ZFYVE26,0.03,0.024094899
CHTF18,0.09,0.024117152
CCDC186,0.07,0.024159749
VAMP5,0.16,0.0241642
MAP4,0.05,0.02417628
PSAT1,0.12,0.024236679
STK17B,0.30,0.024253845
OGFR,1.71,0.024274826
USP25,0.10,0.024280548
SS18,0.41,0.024314245
EMC3,0.03,0.024318059
SERINC3,0.12,0.024335225
PAPD4,0.04,0.024426142
GPAA1,0.05,0.024442673
RPS8,0.28,0.024448395
CCDC47,0.14,0.024453481
MAGI3,0.05,0.0244929
FBXL12,0.06,0.0244929
FRYL,0.25,0.024494807
ASCC3,0.34,0.024511973
DHX57,0.12,0.024632772
ILKAP,0.18,0.02463913
TCEAL8,0.02,0.024781545
BCL2L13,0.19,0.024786631
SIRT5,0.29,0.024831772
MED22,0.14,0.024862925
UBE2M,0.33,0.024864197
FNTB,0.08,0.024915695
ESD,0.23,0.024942398
ARL6IP4,0.06,0.024951935
REST,0.05,0.02510198
UBE2Q1,0.11,0.025146484
MEMO1,0.12,0.025161107
MED29,0.17,0.025170008
BUB1,0.21,0.025218328
POLE3,0.03,0.025227229
PRKAR2A,0.13,0.025241216
NUBP2,0.04,0.025287628
ARGLU1,0.08,0.025455475
RINT1,0.12,0.02547582
TM9SF4,0.18,0.025520325
RPP25,0.38,0.025526683
SUOX,0.03,0.025536855
MED4,0.17,0.025578181
ZNF317,0.23,0.025614421
NBEAL1,0.12,0.025616964
TNFRSF10A,0.06,0.025711695
TEAD1,0.12,0.025758108
PSMC5,0.16,0.025779088
L3MBTL2,0.31,0.025810877
FAM200A,0.12,0.025896708
WHSC1L1,0.23,0.025923411
TMEM102,0.04,0.025934219
CGGBP1,0.32,0.02603213
HECTD3,0.13,0.026049932
ATXN1,0.03,0.026051839
CDC123,0.03,0.02606837
CSTF2T,0.03,0.026108424
TCEB3,0.07,0.026140849
LARP4,0.25,0.026274999
TROAP,0.26,0.026376088
ZNF143,0.49,0.026380539
DNA2,0.19,0.026384989
RABEP1,0.14,0.026387533
CLN6,0.07,0.026404063
NUP62,0.08,0.026452382
MARC2,0.12,0.026483536
DENND5A,0.06,0.026498795
QDPR,0.27,0.026503245
RANBP10,0.17,0.026515961
RNF41,0.13,0.026536942
UFD1L,0.12,0.026569366
DERL1,0.06,0.026579539
FAM134C,0.13,0.026581446
EEF1D,0.05,0.026608149
RPS6KB1,0.18,0.026613235
TMEM55B,0.04,0.026618958
PTPN2,0.47,0.026632945
TMEM11,0.60,0.026637395
MKRN2,0.06,0.026666005
IPP,0.08,0.026766459
GTF2A1,0.18,0.026796977
OSBPL6,0.42,0.026810328
RDX,0.11,0.026812236
NAA10,0.16,0.026826859
SEPT6,0.05,0.026854833
MIEN1,0.28,0.026948929
GPAM,0.19,0.026987076
ASCC1,0.04,0.027025859
ID3,0.03,0.027048747
AP5B1,0.31,0.027083079
KAT6A,0.09,0.027095159
ACVR2A,0.02,0.027105331
ATE1,0.05,0.027169545
GRK5,0.09,0.027175268
KIAA0430,0.05,0.027311961
NCAPH2,0.08,0.027333577
SLC7A1,0.07,0.027348836
PMAIP1,0.17,0.027359645
CNN2,0.08,0.02738444
KHNYN,0.10,0.027467092
RAB43,0.05,0.027468999
PSME1,0.15,0.027479172
ZNF30,0.02,0.027533849
WWP1,0.07,0.027564367
TOMM5,0.05,0.027634939
AAK1,0.27,0.027706146
ZNF598,0.32,0.027707418
NUPL1,0.14,0.027736028
HIBADH,0.05,0.027804693
SIK3,0.03,0.027808507
SAP30,0.14,0.02783521
URB2,0.12,0.02791214
RANBP17,0.03,0.027942022
POC1A,0.22,0.027983983
TMEM109,0.06,0.028048197
ZFPM2,0.30,0.028080622
PRDM15,0.48,0.028084437
STK26,0.04,0.028124491
SCRN2,0.24,0.02812767
POLR2A,0.45,0.028336207
DUS1L,0.05,0.028349559
C9orf78,0.04,0.028350194
RPP21,0.03,0.028354645
TRAPPC2L,0.19,0.028359095
DAD1,0.05,0.028383255
AKAP12,0.03,0.028395971
GALNT10,0.13,0.028401693
PRIM2,0.10,0.028422038
EIF3B,0.51,0.028448741
FAM3C,0.05,0.028534571
CENPO,0.29,0.028597514
VKORC1,0.10,0.028608958
PDCD6IP,0.50,0.028666814
PSMB6,0.10,0.028702418
TMCO1,0.07,0.028757095
DNTTIP1,0.16,0.028786341
RAD9A,0.11,0.028884252
ASAP1,0.03,0.028917313
YAP1,0.05,0.028987885
FBLN2,0.10,0.029019674
VPS26A,0.26,0.029026667
LRRFIP1,0.06,0.029038111
PI4KA,0.23,0.029041926
ERCC3,0.22,0.029062907
CCM2,0.06,0.029165268
WBP4,0.06,0.029258728
PTGR1,0.16,0.029301961
CENPQ,0.03,0.02934583
PHF10,0.06,0.029352188
LRP6,0.27,0.029371262
NAGLU,0.06,0.029376348
ALG12,0.15,0.029441833
PRPS1,0.04,0.029449463
DKC1,0.18,0.029485703
ITPR2,0.06,0.029513677
ACD,0.21,0.029610952
TBC1D24,0.20,0.029634476
HUWE1,0.28,0.029642741
CDC37,0.06,0.029656092
CHCHD6,0.18,0.029666901
ARMC6,0.41,0.02967008
FBXO5,0.22,0.029670715
C8orf33,0.07,0.029689153
ADK,0.88,0.02973175
SIN3A,0.32,0.029734929
DCTN6,0.52,0.029761632
MGAT4B,0.22,0.029783885
WDR89,0.16,0.029787699
CAPN5,0.10,0.029789607
PXN,0.20,0.029828389
PTPN11,0.07,0.029841105
ZNF555,0.03,0.029844284
TIPIN,0.04,0.029914856
ITGB1,0.07,0.029992421
EPN1,0.07,0.029994329
TMEM30A,0.04,0.030067444
LSM7,0.08,0.030090968
AZIN2,0.07,0.03010114
UBL7,0.26,0.030103683
LIN37,0.11,0.030157725
DCAF12,0.04,0.030204137
CMAS,0.92,0.030228933
SHPRH,0.12,0.030243556
RRM2B,0.07,0.030286789
PHF3,0.12,0.030290604
SLC25A23,0.07,0.03029569
TOR1AIP2,0.04,0.030491511
RETSAT,0.14,0.030501048
PSMA1,0.83,0.030503591
RANBP9,0.50,0.030515671
CD68,0.28,0.030533473
DCTN1,0.31,0.030539195
DMXL2,0.27,0.030540466
GMEB1,0.12,0.030545553
TUBGCP4,0.20,0.030584335
PCYT2,0.27,0.030604045
ANKMY2,0.12,0.030607859
GDAP2,0.52,0.03062884
C2orf72,0.05,0.030653
LDLRAD3,0.05,0.03068161
FAM222B,0.05,0.030703227
MTMR1,0.29,0.030703863
MTCH2,0.21,0.030728022
CBL,1.47,0.030769984
SERGEF,0.10,0.030806224
LRRC8C,0.11,0.030810038
RBFOX2;RBFOX1;RBFOX3,0.16,0.030816396
TAX1BP1,0.04,0.030832291
GBA,0.17,0.030874888
TRAM1,0.06,0.030893962
NIF3L1,0.05,0.030948003
POLG,0.15,0.030951818
TXLNA,0.73,0.03103447
ZFAND5,0.05,0.031056086
PKP3,0.22,0.03107961
C5orf34,0.06,0.031130473
TBC1D10B,0.15,0.031195958
THOP1,0.70,0.031213125
ZNF771,0.15,0.031246185
ZSCAN25,0.03,0.031273524
BSDC1,0.11,0.031274796
FCF1,0.08,0.031288783
SPATS2L,0.03,0.031384786
WLS,0.82,0.031405131
CRKL,0.07,0.031455994
SRGAP2,0.38,0.031572342
RNF167,0.07,0.03158315
REV1,0.10,0.031585693
TAP2,0.42,0.031595866
STX5,0.19,0.03161176
ARHGEF1,0.08,0.031616211
THEM6,0.13,0.031647364
UBE2E2;UBE2E1,0.04,0.031667074
SDR39U1,0.03,0.031677246
FBRS,0.15,0.031771342
SLC35F5,0.03,0.031804403
YEATS2,0.24,0.031840007
TAB1,0.08,0.03188324
ZBTB14,0.20,0.031898499
RAB1B,0.07,0.031972249
STX12,0.13,0.031974157
ATP6AP1,0.11,0.031986237
CUL5,0.14,0.032002131
MAD1L1,0.23,0.03203392
MPP6,0.59,0.032042821
TAOK2,0.11,0.032047908
PELO,0.07,0.032083511
MID1,0.18,0.032179515
CCAR1,0.16,0.032191594
BRD2,0.41,0.032193502
SMAD1,0.55,0.032214483
POLK,0.14,0.032242457
AHCYL2,0.07,0.032278061
ST3GAL4,0.06,0.032317479
EMILIN1,0.06,0.032323837
ZNF646,0.08,0.032336553
LRIF1,0.08,0.032344182
WDR34,0.06,0.032347361
LTV1,0.09,0.032403946
RPS6KA5,0.17,0.032417297
TTC13,0.07,0.032454173
TAF1;TAF1L,0.20,0.032458623
DUS2,0.43,0.032466888
TRIM27,0.07,0.032513301
SOCS2,0.04,0.032524745
UBE4A,0.18,0.032560349
NDST2,0.15,0.032583237
NPC2,0.07,0.032653809
EIF4G3,0.10,0.032676061
FBXW9,0.04,0.032677333
EPB41,0.18,0.032706579
CBX8,0.36,0.032762527
MYOF,0.15,0.032772064
ANP32B,0.08,0.032796224
SURF6,0.13,0.032829285
NRDE2,0.89,0.032850266
HDHD1,0.03,0.032862981
CTSC,0.14,0.032879512
MBTD1,0.07,0.032887777
RCN3,0.08,0.032925924
CLIP1,0.10,0.032979329
TSSC1,0.13,0.03302002
HIRA,0.17,0.033022563
ASNSD1,0.07,0.033092499
RPS25,0.16,0.033127467
CNOT11,0.05,0.033159256
FAM65A,0.04,0.033191681
OCIAD1,0.12,0.033251444
LMAN1,0.12,0.033278147
NANP,0.19,0.033302307
PGK2,0.27,0.033369064
NVL,0.33,0.0333697
SMG1,0.27,0.033379873
MPG,0.10,0.033406576
PDE7A,0.06,0.03345871
RHOF,0.14,0.033472697
METTL1,0.27,0.033494949
CEP131,0.15,0.033497492
RAD1,0.18,0.033515294
STT3B,0.15,0.033530553
NPC1,0.40,0.033536911
PSMD4,0.04,0.033650716
ATL3,0.09,0.033753713
CMPK1,0.08,0.033805847
NOVA1,0.39,0.033817291
ADD2,0.41,0.03384463
GSG2,0.29,0.033852895
BZW2,0.27,0.033863068
SIKE1,0.11,0.033878326
ARRB2,0.25,0.033885956
SLC6A6,0.14,0.033888499
CEPT1,0.06,0.033903758
MTFR1,0.21,0.033924103
DOCK4,0.18,0.033924739
CTDP1,0.10,0.033941905
ATG4C,0.14,0.033957799
UBXN2B,0.08,0.033964793
C8orf88,0.05,0.033969243
FAM207A,0.05,0.033971151
PLCD1,0.09,0.034071604
TNRC6B,0.12,0.034088771
ANKZF1,0.28,0.034133911
DHX16,0.12,0.034200668
CEP290,0.06,0.034208934
TNFSF13B,0.02,0.034250895
RERE,0.20,0.034268061
IPO9,1.29,0.034294128
STX6,0.05,0.034313202
TTC27,0.24,0.034318924
GATAD2A,0.23,0.034354528
SDCBP,0.05,0.034354528
ZNF576,0.08,0.034366608
TRABD2A,0.08,0.034472148
UBTD2,0.04,0.034507751
SDE2,0.39,0.034528097
TBCB,0.31,0.034531911
RAB28,0.08,0.034535726
PRKAR1A,0.36,0.034545898
SIAH1,0.25,0.034656525
TECPR2,0.05,0.034673055
GMPR2,0.35,0.034735998
OTUD3,0.07,0.034760793
KIAA1191,0.12,0.034783045
DCAF5,0.09,0.034805934
TMEM185B;TMEM185A,0.17,0.034866969
CHPF2,0.06,0.034966787
GTPBP1,0.18,0.035010656
TXNDC12,0.14,0.035101573
WDFY1,0.36,0.035112381
WDR1,1.34,0.035220464
INO80E,0.17,0.035231908
TCTN3,0.06,0.035324732
ABHD16A,0.08,0.035336812
TTC14,0.16,0.03534317
KCMF1,0.11,0.035345078
FAM160B2,0.06,0.035377502
POLD2,0.11,0.03543218
CPSF7,0.29,0.035441081
FAM76B,0.54,0.035474141
MCRS1,0.20,0.035599391
CDC34,0.08,0.035629908
PIH1D1,0.14,0.035638173
GLDC,0.06,0.035649618
COPA,0.46,0.035666148
TRIT1,0.07,0.035673777
COMMD8,0.12,0.035732905
UGP2,0.05,0.035758972
TTL,0.09,0.035872142
FAM160B1,0.10,0.035942078
KDM2A,0.48,0.035963694
LIAS,0.40,0.035980225
KANK1,0.06,0.035987854
TRAPPC8,0.31,0.036043167
TMTC3,0.40,0.036093394
TRAF7,0.61,0.036093394
CACTIN,0.38,0.036108017
CAMKK1,0.04,0.036141078
TMEM160,0.06,0.036164602
SLC16A3,0.31,0.036181132
SYNRG,0.14,0.03619194
APOB,0.08,0.036195755
ARSB,0.21,0.036215464
HPDL,0.08,0.036271413
STX10,0.11,0.036319733
KRR1,0.15,0.036343892
MBOAT7,0.17,0.036372503
NIT1,0.74,0.036376953
ARPC2,0.10,0.036450068
DGKE,0.27,0.036476135
SYNJ1,0.27,0.036491394
KPNB1,0.10,0.036501567
SNAP47,0.23,0.0365448
NSMCE1,0.31,0.036566416
ASRGL1,0.37,0.036582311
SNAP23,0.14,0.036605835
TBC1D14,0.14,0.03662173
ABCB8,0.04,0.036677678
PRPF3,0.26,0.036761602
ALS2,0.17,0.036776861
XAB2,0.12,0.036803563
SLC23A2,0.22,0.036849976
RNF169,0.40,0.03690211
TXNDC5,0.12,0.036907196
AGAP3,0.17,0.036933263
MAP2K3,0.18,0.036934535
GTF3C5,0.41,0.036935806
CNNM4,0.05,0.036938349
ZZEF1,0.45,0.03696696
TDRP,0.07,0.036975225
CENPT,0.08,0.036994298
KHSRP,0.74,0.037047704
RASSF7,0.09,0.037059148
XYLT2,0.08,0.037096024
SAR1A,0.10,0.037204107
PDE4DIP,0.28,0.037219365
PPP2R3A,0.34,0.037220637
NELFCD,0.51,0.037244161
ZNF316,0.09,0.037246068
RNF213,0.17,0.037281036
SENP1,0.41,0.037330627
TRIM26,0.31,0.037333171
VPS54,0.05,0.037341436
AP1S1,0.08,0.037363688
MFSD10,0.60,0.037380219
DFNA5,0.13,0.037380854
KCTD3,0.17,0.037407557
GUF1,0.93,0.037431081
NSFL1C,0.09,0.03750356
TCF4,0.11,0.03756841
EIF3A,0.40,0.037611008
PSPC1,1.72,0.037617366
FAM210B,0.06,0.037635803
TADA1,0.13,0.037638346
SYNE3,0.13,0.037651062
C17orf80,0.14,0.037710826
PANK4,0.11,0.037738164
SENP7,0.06,0.037789663
TONSL,0.07,0.037846883
BAP18,0.05,0.037918727
PHF23,0.11,0.037944158
C8orf82,0.09,0.037962596
HSPBAP1,0.03,0.03801473
CPSF3,0.08,0.038097382
UBQLN2,0.21,0.038122177
COMMD5,0.26,0.038140615
SMIM26,0.06,0.038183848
PAPSS1,0.71,0.038198471
PFN2,0.16,0.038227717
RAB6C,0.04,0.038232803
BAG6,0.18,0.03828303
IPMK,0.08,0.038344065
NPEPL1,0.26,0.038366954
TSR1,0.11,0.038390477
SSH1,0.18,0.038391749
ABCF3,0.54,0.038428624
EXT1,0.37,0.038512548
CKS1B,0.08,0.038556417
DOCK7,0.29,0.038588206
POLR1C,0.12,0.038590749
BCORL1,0.17,0.038653692
PSRC1,0.13,0.038654327
ABCA1,0.09,0.038700104
MED12,0.10,0.038710276
MYH9,0.11,0.038716634
MORC3,0.20,0.038717906
RSF1,0.16,0.038747152
